Plant,Side,tissue,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment,mycofungus,APE13C,APE15N,pctC,pctN,CNratio
6090,a,mycorrhizas,1,Y,High,N,THETE/NM,THETE,THETE,0.010445292932755423,-7.444759618465691e-4,27.5,1.6,17.5
6010,b,uncolonized_roots,1,N,High,N,THETE/NM,NM,NM,0.0520725834754332,-6.276917196605947e-4,48.1,1.6,29.2
6099,b,hyphae,1,Y,High,N,THETE/THETE,THETE,THETE,0.02849394968384411,0.0035946046438556922,28.1,2,13.8
6082,b,mycorrhizas,1,N,High,N,FAILED,OTHER,OTHER,0.03730703840379168,5.875780525745333e-4,44.3,2.5,17.4
6015,a,uncolonized_roots,1,N,High,N,THETE/SUIPU,SUIPU,SUIPU,0.01971226536119053,-0.0014415376012988368,43.3,1,43
6028,b,mycorrhizas,1,Y,High,N,MIXED/THETE,THETE,THETE,0.011049952629107906,7.116579829188896e-4,22.6,0.9,24.6
6035,a,mycorrhizas,1,N,Low,N,THETE/THETE,THETE,THETE,0.0064653482840644205,-6.202192128318407e-5,46.7,1.4,32.5
6023,a,hyphae,1,Y,High,N,THETE/THETE,THETE,THETE,0.02202049367673209,0.00749908917032216,40.7,2.7,14.8
6070,b,uncolonized_roots,1,N,High,N,THETE/THETE,THETE,THETE,0.03392264648541077,-6.203927136143039e-4,47.2,2.1,22.4
6024,a,hyphae,1,N,High,N,THETE/THETE,THETE,THETE,0.023119612149667512,0.0018539087055960413,40,2.5,15.9
6068,b,uncolonized_roots,1,Y,High,N,THETE/NM,THETE,THETE,0.0021222255730573014,-0.0010510359001740799,45.6,1.9,24.4
6085,a,mycorrhizas,1,N,Low,N,THETE/SUIPU,THETE,THETE,0.004750135262095556,-3.6492817574007574e-4,41.8,1,40.2
6034,b,mycorrhizas,1,N,High,N,MIXED/THETE,MIXED,THETE,0.005915606997909162,0.002521730062153449,27.6,1.5,19
6023,a,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,THETE,0.026229985035095993,0.003120207168362532,46.4,1.7,27.8
6062,a,mycorrhizas,1,N,Low,N,SUIPU/NM,SUIPU,SUIPU,0.0548845683090724,5.218885525661299e-4,40.4,2.1,19.5
6029,a,uncolonized_roots,1,N,Low,N,THETE/THETE,THETE,THETE,0.008532320839050866,-7.517749860734835e-4,44.8,1,45.9
6054,b,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,NM,0.004024450307327898,-4.56165360305294e-4,43.8,0.8,57.9
6032,b,hyphae,1,Y,Low,N,THETE/THETE,THETE,THETE,0.004508241460242202,-6.860838065314567e-4,15.1,0.7,21.6
6088,a,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,THETE,0.0054758095693441255,-5.875471996402148e-4,45.7,0.7,67.2
6057,a,mycorrhizas,1,Y,Low,N,MIXED/SUIPU,MIXED,SUIPU,0.015128464011401555,3.2846896618499155e-4,38.3,1.2,33.1
6085,b,mycorrhizas,1,Y,Low,N,THETE/SUIPU,SUIPU,SUIPU,0.008158513052264782,3.3576783213629113e-4,45.7,1.2,38.5
6028,a,uncolonized_roots,1,N,High,N,MIXED/THETE,MIXED,NM,0.0069930941699971605,-0.0011240266397388732,45.2,1.3,34.1
6074,b,uncolonized_roots,1,Y,Low,N,NM/NM,NM,NM,0.007289948756109332,8.030688754029347e-5,69.6,1.2,59.7
6054,a,mycorrhizas,1,N,Low,N,THETE/NM,THETE,THETE,0.0038375297308359535,-2.5527316151574553e-5,45.6,1.1,43.1
6097,a,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,THETE,0.03361496300521116,0.0014159882017047432,33.1,2.2,15
6096,b,uncolonized_roots,1,N,Low,N,THETE/NM,THETE,THETE,0.00458520779825089,-5.911967001233642e-4,47.3,0.8,62.5
6027,a,mycorrhizas,1,Y,High,Y,THETE,THETE,THETE,0.014875628071857827,0.003434039850243764,37.5,2.1,18.2
6006,a,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,THETE,0.04377849347977203,0.006601449726569841,46.5,2.6,17.8
6076,b,uncolonized_roots,1,N,Low,N,THETE/NM,THETE,THETE,0.0037275761205528557,-2.408458728921925e-4,48.9,0.7,65.5
6011,a,hyphae,1,N,Low,N,THETE/SUIPU,THETE,THETE,0.00644335874994062,3.722621458513986e-4,32.3,1,32.5
