Plant,Side,mycofungus,dead_tissue,mycorrhizas,other,roots,percent_col,N_level,Batch,Fungus_attempted,compartment_fungus,competitors,attempted,enriched,Plantside
6093,B,Tt,NA,0.05466,NA,0.05412,50.24820739106454,High,FC15,None,Tt,Tt/Tt,Tt/None,1,6093 B
6094,A,Tt,NA,0.02518,NA,0.05662,30.782396088019564,High,FC12,Sp,Tt,Tt/Tt,Sp/None,1,6094 A
6094,B,Tt,NA,0.03333,NA,0.04045,45.174844131200864,High,FC12,None,Tt,Tt/Tt,Sp/None,1,6094 B
6096,A,NA,NA,0,NA,0.02476,0,Low,FC04,None,None,Tt/None,None/None,1,6096 A
6096,B,Tt,NA,0,NA,0.01954,0,Low,FC04,None,Tt,Tt/None,None/None,1,6096 B
6097,A,Tt,8.1e-4,0.02779,NA,0.03915,41.514789363609204,High,FC05,Tt,Tt,Tt/Tt,Tt/Sp,1,6097 A
6097,B,Tt,NA,0.02726,NA,0.09813,21.740170667517344,High,FC05,Sp,Tt,Tt/Tt,Tt/Sp,1,6097 B
6098,A,Tt,NA,0,NA,0.044,0,High,FC09,Sp,Mixed,MIXED/THETE,Sp/None,1,6098 A
6098,A,Sp,2e-4,0.0014,NA,NA,100,High,FC09,Sp,Mixed,MIXED/THETE,Sp/None,1,6098 A
6098,B,Tt,NA,0,0.0022,0.042800000000000005,0,High,FC09,None,Tt,MIXED/THETE,Sp/None,1,6098 B
6099,A,Tt,NA,0.02702,NA,0.09562000000000001,22.03196347031963,High,FC16,None,Tt,Tt/Tt,None/None,1,6099 A
6099,B,Tt,NA,0.0144,NA,0.04307999999999999,25.05219206680585,High,FC16,None,Tt,Tt/Tt,None/None,1,6099 B
6100,A,Tt,NA,0.01449,NA,0.02585,35.91968269707486,Low,FC01,Tt,Tt,Tt/Tt,Tt/None,1,6100 A
6100,B,Tt,NA,0.01496,NA,0.06899,17.820131030375222,Low,FC01,None,Tt,Tt/Tt,Tt/None,1,6100 B
6101,A,Tt,NA,0.00604,NA,0.01138,34.672789896670494,Low,FC08,None,Tt,Tt/None,None/None,1,6101 A
6101,B,NA,NA,0,NA,0.02948,0,Low,FC08,None,None,Tt/None,None/None,1,6101 B
6102,A,Tt,NA,0.00954,NA,0.0408,18.951132300357568,High,FC16,None,Tt,Tt/Tt,None/None,1,6102 A
6102,B,Tt,NA,0.06504,NA,0.05097,56.06413240237911,High,FC16,None,Tt,Tt/Tt,None/None,1,6102 B
6103,A,Tt,NA,0.01654,NA,0.04136,28.56649395509499,High,FC16,Tt,Tt,Tt/Tt,Tt/Tt,1,6103 A
6103,B,Tt,NA,0.00451,NA,0.030440000000000002,12.90414878397711,High,FC16,Tt,Tt,Tt/Tt,Tt/Tt,1,6103 B
6104,A,Tt,NA,0.0055,NA,0.03904,12.348450830713965,Low,FC03,Sp,Tt,Tt/Tt,Sp/None,1,6104 A
6104,B,Tt,4.5e-4,0.01681,NA,0.01886,47.1264367816092,Low,FC03,None,Tt,Tt/Tt,Sp/None,1,6104 B
6106,A,Tt,NA,0.01337,NA,0.06049,18.10181424316274,High,B04,NA,Tt,Tt/Sp,Tt/Sp,0,6106 A
6106,B,Sp,0,0,NA,0.02799,0,High,B04,NA,Sp,Tt/Sp,Tt/Sp,0,6106 B
6107,A,Tt,NA,0.01315,NA,0.01649,44.365721997300945,None,B05,NA,Tt,Tt/Sp,Tt/Sp,0,6107 A
6107,B,Sp,NA,0.00143,NA,0.04099,3.371051390853371,None,B05,NA,Sp,Tt/Sp,Tt/Sp,0,6107 B
