Page,Original_entry_order,Date,Weigher,Plant_number,Side,Labeling_batch,Tissue,Mass_g,Notes,Notes2,,,,,,,,,,,,,,,,,
online,182,180806,LB,6052,B,FC12,SUIPU mycos %,0.00039,,,,,,,,,,,,,,,,,,,
online,183,180806,LB,6052,B,FC12,THETE mycos %,0.0055,,,,,,,,,,,,,,,,,,,
online,184,180806,LB,6052,A,FC12,mycos %,0.01834,,,,,,,,,,,,,,,,,,,
online,185,180806,LB,6090,B,FC12,NM %,0.04947,,,,,,,,,,,,,,,,,,,
online,186,180806,LB,6018,B,FC12,NM %,0.03089,,,,,,,,,,,,,,,,,,,
online,187,180806,LB,6018,B,FC12,other %,0.01651,,,,,,,,,,,,,,,,,,,
online,188,180806,LB,6090,A,FC12,other %,0.00519,,,,,,,,,,,,,,,,,,,
online,189,180806,LB,6090,A,FC12,NM %,0.04073,,,,,,,,,,,,,,,,,,,
online,190,180806,LB,6094,B,FC12,NM %,0.03222,,,,,,,,,,,,,,,,,,,
online,191,180806,LB,6094,B,FC12,other %,0.00823,,,,,,,,,,,,,,,,,,,
online,192,180806,LB,6094,A,FC12,other %,0.01677,,,,,,,,,,,,,,,,,,,
online,193,180806,LB,6094,A,FC12,NM %,0.03985,,,,,,,,,,,,,,,,,,,
online,194,180806,LB,6065,B,FC12,other %,0.02538,,,,,,,,,,,,,,,,,,,
online,195,180806,LB,6065,B,FC12,NM %,0.10029,,,,,,,,,,,,,,,,,,,
online,196,180806,LB,6065,A,FC12,other %,0.02261,,,,,,,,,,,,,,,,,,,
online,197,180806,LB,6065,A,FC12,NM %,0.0144,,,,,,,,,,,,,,,,,,,
online,198,180806,LB,6066,A,FC12,other %,0.00922,,,,,,,,,,,,,,,,,,,
online,199,180806,LB,6066,A,FC12,NM %,0.04648,,,,,,,,,,,,,,,,,,,
online,200,180806,LB,6066,B,FC12,NM %,0.02239,,,,,,,,,,,,,,,,,,,
online,201,180806,LB,6066,B,FC12,other %,0.016,,,,,,,,,,,,,,,,,,,
online,202,180806,LB,6052,B,FC12,NM %,0.03718,,,,,,,,,,,,,,,,,,,
online,203,180806,LB,6052,B,FC12,other %,0.01518,,,,,,,,,,,,,,,,,,,
online,204,180806,LB,6052,A,FC12,NM %,0.03409,,,,,,,,,,,,,,,,,,,
online,205,180806,LB,6052,A,FC12,other %,0.00397,,,,,,,,,,,,,,,,,,,
online,206,180806,LB,6052,none,FC12,shoot,1.88019,,,,,,,,,,,,,,,,,,,
online,207,180806,LB,6065,none,FC12,shoot,2.8367,,,,,,,,,,,,,,,,,,,
online,208,180810,LB,6094,none,FC12,shoot,4.1841,,,,,,,,,,,,,,,,,,,
online,209,180810,LB,6090,none,FC12,shoot,2.92245,,,,,,,,,,,,,,,,,,,
online,210,180810,LB,6066,none,FC12,shoot,2.301,,,,,,,,,,,,,,,,,,,
online,211,180810,LB,6018,none,FC12,shoot,1.80902,,,,,,,,,,,,,,,,,,,
6,212,181128,AV,6036,B,FC11,extra mycos,0.00048,,,,,,,,,,,,,,,,,,,
6,213,181128,AV,6036,A,FC11,NM %,0.04026,,,,,,,,,,,,,,,,,,,
6,214,181128,AV,6036,A,FC11,Other %,0.00528,,,,,,,,,,,,,,,,,,,
6,215,181128,AV,6069,B,FC11,extra roots,0.16335,,,,,,,,,,,,,,,,,,,
6,216,181128,AV,6069,A,FC11,NM %,0.01799,,,,,,,,,,,,,,,,,,,
6,217,181128,AV,6069,A,FC11,hyphae,NA,,,,,,,,,,,,,,,,,,,
6,218,181128,AV,6071,A,FC11,mycos %,0.02043,,,,,,,,,,,,,,,,,,,
6,219,181128,AV,6071,B,FC11,NM %,0.03035,,,,,,,,,,,,,,,,,,,
6,220,181128,AV,6071,B,FC11,extra mycos,0.01131,,,,,,,,,,,,,,,,,,,
6,221,181128,AV,6030,B,FC11,mycos %,0.00637,,,,,,,,,,,,,,,,,,,
6,222,181128,AV,6030,B,FC11,other %,0.0125,,,,,,,,,,,,,,,,,,,
6,223,181128,AV,6030,B,FC11,NM %,0.02783,,,,,,,,,,,,,,,,,,,
6,224,181128,AV,6030,B,FC11,extra roots,0.55904,,,,,,,,,,,,,,,,,,,
6,225,181205,AV,6016,A,FC03,fine roots %,0.0113,fine roots / early mycos %?,,,,,,,,,,,,,,,,,,
6,226,181205,AV,6104,B,FC03,roots %,0.01886,,,,,,,,,,,,,,,,,,,
6,227,181205,AV,6016,A,FC03,roots %,0.0524,,,,,,,,,,,,,,,,,,,
6,228,181205,AV,6016,A,FC03,mycos %,0.05775,,,,,,,,,,,,,,,,,,,
6,229,181205,AV,6104,A,FC03,roots %,0.03421,,,,,,,,,,,,,,,,,,,
6,230,181205,AV,6062,none,FC03,shoot,0.5414,,,,,,,,,,,,,,,,,,,
6,231,181205,AV,6045,none,FC03,shoot,0.57773,,,,,,,,,,,,,,,,,,,
6,232,181205,AV,6016,none,FC03,shoot,0.63562,,,,,,,,,,,,,,,,,,,
6,233,181205,AV,6104,none,FC03,shoot,0.86702,,,,,,,,,,,,,,,,,,,
6,234,181205,AV,6077,none,FC03,shoot,0.77022,,,,,,,,,,,,,,,,,,,
6,235,181205,AV,6067,none,FC03,shoot,0.60997,,,,,,,,,,,,,,,,,,,
7,236,181205,AV,6067,A,FC03,roots %,0.03219,,,,,,,,,,,,,,,,,,,
7,237,181205,AV,6067,B,FC03,mycos %,0.02345,THETE,,,,,,,,,,,,,,,,,,
7,238,181205,AV,6067,B,FC03,other %,0.00221,,,,,,,,,,,,,,,,,,,
7,239,181205,AV,6077,B,FC03,NM roots,0.0157,,,,,,,,,,,,,,,,,,,
7,240,181205,AV,6077,B,FC03,other %,0.01726,,,,,,,,,,,,,,,,,,,
7,241,181205,AV,6077,B,FC03,dead suipu %,0.00817,,"originally read ""dead suipu and mycos %"" Seems unlikely?",,,,,,,,,,,,,,,,,
7,242,181205,AV,6077,B,FC03,TFRs %,0.00854,,,,,,,,,,,,,,,,,,,
7,243,181205,AV,6067,A,FC03,other %,0.00271,,,,,,,,,,,,,,,,,,,
7,244,181205,AV,6104,B,FC03,TFRs / dead mycos %,0.00045,,,,,,,,,,,,,,,,,,,
7,245,181205,AV,6045,B,FC03,other roots,0.15382,,,,,,,,,,,,,,,,,,,
7,246,181205,AV,6045,B,FC03,other %,0.00901,,,,,,,,,,,,,,,,,,,
7,247,181205,AV,6077,A,FC03,other roots %,0.0045,,,,,,,,,,,,,,,,,,,
7,248,181205,AV,6077,A,FC03,TFRs,0.00522,,,,,,,,,,,,,,,,,,,
7,249,181205,AV,6077,A,FC03,roots NM %,0.03924,,,,,,,,,,,,,,,,,,,
7,250,181205,AV,6077,A,FC03,live suipu mycos %,0.00876,,,,,,,,,,,,,,,,,,,
7,251,181205,AV,6067,A,FC03,other roots,0.34278,,,,,,,,,,,,,,,,,,,
7,252,181205,AV,6045,A,FC03,roots %,0.05926,,,,,,,,,,,,,,,,,,,
7,253,181205,AV,6045,A,FC03,hyphae,NA,,,,,,,,,,,,,,,,,,,
7,254,181205,AV,6045,A,FC03,mycos %,0.01733,,,,,,,,,,,,,,,,,,,
7,255,181205,AV,6045,A,FC03,other roots,0.30236,,,,,,,,,,,,,,,,,,,
7,256,181205,AV,6062,A,FC03,TFR %,0.01432,,,,,,,,,,,,,,,,,,,
7,257,181205,AV,6062,B,FC03,dead mycos %,0.00056,,added %,,,,,,,,,,,,,,,,,
7,258,181205,AV,6062,B,FC03,other ,0.30442,,,,,,,,,,,,,,,,,,,
7,259,181205,AV,6062,A,FC03,dead mycos %,0.0009,,added %,,,,,,,,,,,,,,,,,
7,260,181205,AV,6062,A,FC03,other roots,0.1904,,,,,,,,,,,,,,,,,,,
7,261,181205,AV,6062,A,FC03,NM %,0.02614,,,,,,,,,,,,,,,,,,,
7,262,181205,AV,6062,A,FC03,mycos %,0.00143,,,,,,,,,,,,,,,,,,,
7,263,181205,AV,6062,B,FC03,NM %,0.03058,,,,,,,,,,,,,,,,,,,
7,264,181205,AV,6067,B,FC03,mycos suipu %,0.00213,,,,,,,,,,,,,,,,,,,
8,265,181112,AV,6085,none,FC06,shoot,0.59684,,,,,,,,,,,,,,,,,,,
8,266,181112,AV,6054,none,FC06,shoot,0.51195,,,,,,,,,,,,,,,,,,,
8,267,181112,AV,6079,none,FC06,shoot,0.44935,,,,,,,,,,,,,,,,,,,
8,268,181112,AV,6080,none,FC06,shoot,0.49151,,,,,,,,,,,,,,,,,,,
8,269,181112,AV,6008,none,FC06,shoot,0.27676,,,,,,,,,,,,,,,,,,,
8,270,181112,AV,6008,B,FC06,mycos %,0.00048,,,,,,,,,,,,,,,,,,,
8,271,181112,AV,6080,A,FC06,mycos %,0.01527,,,,,,,,,,,,,,,,,,,
8,272,181112,AV,6008,B,FC06,other %,0.00396,,,,,,,,,,,,,,,,,,,
8,273,181112,AV,6008,B,FC06,NM %,0.03415,,,,,,,,,,,,,,,,,,,
8,274,181205,AV,6104,B,FC03,hyphae,NA,"""B"" side inferred from harvest notes indicated very little mycorrhization and no visible hyphae on side A.",,,,,,,,,,,,,,,,,,
8,275,181205,AV,6067,B,FC03,roots %,0.01255,,,,,,,,,,,,,,,,,,,
8,276,181205,AV,6077,B,FC03,mycos %,0.00748,,,,,,,,,,,,,,,,,,,
8,277,181205,AV,6077,A,FC03,dead suipu %,0.00065,,added %,,,,,,,,,,,,,,,,,
8,278,181205,AV,6104,A,FC03,TFRs %,0.00483,?,,,,,,,,,,,,,,,,,,
8,279,181205,AV,6045,B,FC03,mycos %,0.03315,,,,,,,,,,,,,,,,,,,
8,280,181205,AV,6045,B,FC03,roots %,0.02386,,,,,,,,,,,,,,,,,,,
8,281,181205,AV,6045,B,FC03,hyphae,NA,,,,,,,,,,,,,,,,,,,
8,282,181205,AV,6077,A,FC03,extra roots,0.53312,,,,,,,,,,,,,,,,,,,
8,283,181205,AV,6016,B,FC03,term fine roots,0.00893,,,,,,,,,,,,,,,,,,,
8,284,181205,AV,6016,B,FC03,roots %,0.02443,,,,,,,,,,,,,,,,,,,
